run,n,jain,gini,p5,source
no_admission,60,0.9681444771998828,0.10223359970272017,0.4000535,seed_123\per_agent.csv
no_admission\seed_123,60,0.9681444771998828,0.10223359970272017,0.4000535,per_agent.csv
no_admission\seed_2025,60,0.9678384617839195,0.1022201454185756,0.38922735,per_agent.csv
no_admission\seed_42,60,0.9662917063574555,0.10386563945651206,0.42192735,per_agent.csv
no_admission\seed_7,60,0.9748128542434702,0.09046659192365869,0.43362445,per_agent.csv
no_admission\seed_99,60,0.9732590434755987,0.09422008560616857,0.41359884999999996,per_agent.csv
no_fairness_term,60,0.9701661277288995,0.09883326665254466,0.41991945,seed_123\per_agent.csv
no_fairness_term\seed_123,60,0.9701661277288995,0.09883326665254466,0.41991945,per_agent.csv
no_fairness_term\seed_2025,60,0.9699769769744435,0.09865430114440854,0.4090933,per_agent.csv
no_fairness_term\seed_42,60,0.9685012284037291,0.10028924216479562,0.4417933,per_agent.csv
no_fairness_term\seed_7,60,0.9764665567380187,0.08737222889444629,0.4534895,per_agent.csv
no_fairness_term\seed_99,60,0.9749654742779089,0.09108445585581326,0.43346385,per_agent.csv
two_stage,60,0.9819849120651553,0.07633737297650645,0.4767374,seed_123\per_agent.csv
two_stage\seed_123,60,0.9819849120651553,0.07633737297650645,0.4767374,per_agent.csv
two_stage\seed_2025,60,0.9821916841329047,0.07550623921639366,0.46693925000000003,per_agent.csv
two_stage\seed_42,60,0.9811839070005467,0.07701000680060366,0.49295025,per_agent.csv
two_stage\seed_7,60,0.9859889509391017,0.0670901327505975,0.5032521999999999,per_agent.csv
two_stage\seed_99,60,0.9848425790375195,0.07051775478791855,0.48604365,per_agent.csv
